id,title,postal_code,city,district,address,telephone,fax,operate,operate_start,operate_end,url
1,總管理中心,540028,南投縣,南投市,成功三路343號1樓,04-22581569,04-22581529,週一至週五,08:30,17:30,"https://www.google.com/maps/place/540%E5%8D%97%E6%8A%95%E7%B8%A3%E5%8D%97%E6%8A%95%E5%B8%82%E6%88%90%E5%8A%9F%E4%B8%89%E8%B7%AF343%E8%99%9F/@23.9200386,120.6566632,17z/data=!3m1!4b1!4m5!3m4!1s0x3469317bc8c5c2a1:0xe04c6c2adcfe6c6a!8m2!3d23.9200337!4d120.6588519"
2,臺北市承德營業所,104429,臺北市,中山區,中山北路3段27號3樓之6C室,02-25873679,02-25867249,週一至週五,11:30,20:30,"https://www.google.com/maps/place/104%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8C%BA%E4%B8%AD%E5%B1%B1%E5%8C%97%E8%B7%AF%E4%B8%89%E6%AE%B527%E8%99%9F3%E8%99%9F%E6%A8%93%E4%B9%8B6C/@25.0654001,121.5203666,17z/data=!3m1!4b1!4m5!3m4!1s0x3442a945aad5a4a5:0x56767ae02cfe54b2!8m2!3d25.0653953!4d121.5225553"
3,新北市板橋區營業所,220218,新北市,板橋區,府中路29-1號11樓,02-29602990,02-29603219,週一至週六,11:30,20:30,"https://www.google.com/maps/place/220%E6%96%B0%E5%8C%97%E5%B8%82%E6%9D%BF%E6%A9%8B%E5%8D%80%E5%BA%9C%E4%B8%AD%E8%B7%AF29%E2%80%941%E8%99%9F%E8%99%9F/@25.0084253,121.4562713,17z/data=!3m1!4b1!4m5!3m4!1s0x346802a7f34d876b:0xf8dab16724b5443d!8m2!3d25.0084253!4d121.45846"
4,桃園市桃園區營業所,330060,桃園市,桃園區,永安路191號6樓之1,03-3310928,03-3316676,週一至週六,11:30,20:30,"https://www.google.com/maps/place/330%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E6%B0%B8%E5%AE%89%E8%B7%AF191%E8%99%9F/@24.9979348,121.3020613,17z/data=!3m1!4b1!4m5!3m4!1s0x34681f0169bcd0bf:0x6165520d5bc2d208!8m2!3d24.99793!4d121.30425"
5,臺中市南屯區營業所,408034,臺中市,南屯區,文心路一段429號,04-35018368,04-22523535,週一至週六,11:30,20:30,"https://www.google.com/maps/place/408%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%B1%AF%E5%8D%80%E6%96%87%E5%BF%83%E8%B7%AF%E4%B8%80%E6%AE%B5429%E8%99%9F/@24.1502909,120.6442673,17z/data=!3m1!4b1!4m5!3m4!1s0x34693d959a5090b9:0x519e1c62a626e77d!8m2!3d24.150286!4d120.646456"
6,臺中西區營業所,403580,臺中市,西區,臺灣大道二段239號10樓之1,04-23261569,04-23261579,週一至週五,11:30,20:30,"https://www.google.com/maps/place/403%E5%8F%B0%E4%B8%AD%E5%B8%82%E8%A5%BF%E5%8D%80%E5%8F%B0%E7%81%A3%E5%A4%A7%E9%81%93%E4%BA%8C%E6%AE%B5239%E8%99%9F/@24.1527914,120.6647072,17z/data=!3m1!4b1!4m5!3m4!1s0x34693d7632034fab:0xeb07fa568185614e!8m2!3d24.1527865!4d120.6668959"
7,南投縣南投市營業所,540028,南投縣,南投市,成功三路343號1樓,049-2264573,049-2263957,週一至週五,11:30,20:30,"https://www.google.com/maps/place/540%E5%8D%97%E6%8A%95%E7%B8%A3%E5%8D%97%E6%8A%95%E5%B8%82%E6%88%90%E5%8A%9F%E4%B8%89%E8%B7%AF343%E8%99%9F/@23.9200386,120.6566632,17z/data=!3m1!4b1!4m5!3m4!1s0x3469317bc8c5c2a1:0xe04c6c2adcfe6c6a!8m2!3d23.9200337!4d120.6588519"
8,雲林縣斗六市營業所,640153,雲林縣,斗六市,斗工二路38號,05-5575679,05-5575779,週一至週五,11:30,20:30,"https://www.google.com/maps/place/640%E9%9B%B2%E6%9E%97%E7%B8%A3%E6%96%97%E5%85%AD%E5%B8%82%E6%96%97%E5%B7%A5%E4%BA%8C%E8%B7%AF38%E8%99%9F/@23.7189911,120.5928854,17z/data=!3m1!4b1!4m5!3m4!1s0x346ec918f7746139:0x16f17ffad693c19c!8m2!3d23.7189862!4d120.5950741"
9,嘉義市西區營業所,600572,嘉義市,西區,西區中興路353號15樓,05-2318898,05-2318568,週一至週五,11:30,20:30,"https://www.google.com/maps/place/600%E5%98%89%E7%BE%A9%E5%B8%82%E8%A5%BF%E5%8D%80%E4%B8%AD%E8%88%88%E8%B7%AF353%E8%99%9F15%E6%A8%93/@23.4815437,120.4289179,17z/data=!3m1!4b1!4m5!3m4!1s0x346e968375e6a91f:0x1fe231219fbb17f5!8m2!3d23.4815388!4d120.4311066"
10,臺南市中西區營業所,700012,臺南市,中西區,中西區成功路515號10樓,06-2504258,06-2500773,週一至週五,11:30,20:30,"https://www.google.com/maps/place/700%E5%8F%B0%E5%8D%97%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8D%80%E6%88%90%E5%8A%9F%E8%B7%AF515%E8%99%9F/@23.0021825,120.1927137,17z/data=!3m1!4b1!4m5!3m4!1s0x346e7667eb62828d:0xeb336b115be89f5!8m2!3d23.0021776!4d120.1949024"
